lemma	bin_tag	mim_tag	freq	rank	ind	manual_en	pre_kw	kw	post_kw	ipa_sd	full_cat	full_cat_en	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce
nú	ao	a	43443	88	495707	now	Borgarráð fundar	nú	um málið.	nuː	Atviksorð	Adverb	adv.	1K								nú																		nú.mp3
mega	so	s	42274	89	427489	be allowed	Hann	mátti	aðeins ræða við hann í gegnum gler.	meiːɣa	Sagnorð	Verb	v.	1K	má	mátt	má	mátti	máttir	mátti	mátt																			mega.mp3
halda	so	s	42070	90	466685	hold; think, believe	Ég	held	að hún sé ófær.	halta	Sagnorð	Verb	v.	1K	held	heldur	heldur	hélt	hélst	hélt	haldið																			halda.mp3
einhver	fn	fo	41720	91	478799	somebody, someone	Það er hægt að finna	einhverja	skynsamlega leið.	eiŋ̥kvɛr	Fornafn	Pronoun	pron.	1K																einhverjir -- einhverjar -- einhver	einhver  --  einhver -- eitthvert									einhver.mp3
út	fs	a	41552	92.5	495342	out	Leki kom að bátnum og sendu skipverjar	út	neyðarkall.	uːt	Forsetning	Preposition	prep.	1K								út																		út.mp3
sjá	so	s	40990	94	466523	see; spot	Við skulum	sjá	til hvað gerist í dag.	sjauː	Sagnorð	Verb	v.	1K	sé	sérð	sér	sá	sást	sá	séð																			sjá.mp3
mál	hk	nh	40098	95	2381	language; issue; case	Við fjöllum nánar um	málið	í fréttum okkar í kvöld.	mauːl	Nafnorð	Noun	n.	1K									mál	máli	máls	mál	mál	málum	mála											mál.mp3
vel	ao	a	39496	96	400694	well, fine	Hann tók ósigrinum	vel	.	vɛːl	Atviksorð	Adverb	adv.	1K																								betur	best	vel.mp3
dagur	kk	nk	38978	97	5752	day	Þetta kemur fram í Fréttablaðinu í	dag	.	taːɣʏr	Nafnorð	Noun	m.	1K									dag	degi	dags	dagar	daga	dögum	daga											dagur.mp3
ef	st	c	38860	98	495355	if	Húsið er stórskemmt	ef	ekki ónýtt.	ɛːf	Samtenging	Conjuction	conj.	1K								ef																		ef.mp3
finna	so	s	38003	99	434208	find; feel, sense	Þegar húsráðendur komu heim í nótt	fundu	þau þjófinn sofandi.	fɪna	Sagnorð	Verb	v.	1K	finn	finnur	finnur	fann	fannst	fann	fundið																			finna.mp3
vegna	fs	a	37476	100.5	495344	because of	Hann hefur sett sig í samband við lögfræðing	vegna	málsins.	vɛkna	Forsetning	Preposition	prep.	1K								vegna																		vegna.mp3
land	hk	nh	37074	102	2215	land; country; estate	Mikilvægast væri að fjölga störfum í	landinu	.	lant	Nafnorð	Noun	n.	1K									land	landi	lands	lönd	lönd	löndum	landa											land.mp3
hér	ao	a	36997	103	495602	here	Þær séu	hér	til þess að safna sér pening.	çɛːr	Atviksorð	Adverb	adv.	1K								hér																		hér.mp3
þurfa	so	s	35848	104	427490	need; have to	Lækka	þurfi	vexti hratt og örugglega.	θʏrva	Sagnorð	Verb	v.	1K	þarf	þarft	þarf	þurfti	þurftir	þurfti	þurft																			þurfa.mp3
hjá	fs	a	35395	105.5	495291	beside; with	Maðurinn viðurkenndi við yfirheyrslur	hjá	lögreglu að hafa selt áfengi.	çauː	Forsetning	Preposition	prep.	1K								hjá																		hjá.mp3
vegur	kk	nk	34963	107	5749	road; way	Enn hafa hins	vegar	engin svör borist.	vɛːɣʏr	Nafnorð	Noun	m.	1K									veg	vegi	vegar	vegir	vegi	vegum	vega											vegur.mp3
yfir	fs	a	34307	109	495349	across, over	Hrina eftirskjálfta hefur staðið yfir með nokkrum skjálftum	yfir	3 stig.	ɪːvɪr	Forsetning	Preposition	prep.	1K								yfir																		yfir.mp3
minn	fn	fe	33564	111	478792	my	En fólkið	mitt	þarf ekki að bíða lengi.	mɪn	Fornafn	Pronoun	pron.	1K																mínir -- mínar -- mín	minn  --  mín -- mitt									minn.mp3
nokkur	fn	fo	33559	112	478806	a few	Sjóðurinn gerir þó	nokkrar	athugasemdir við frumvarpið.	nɔhkʏr	Fornafn	Pronoun	pron.	1K																nokkrir -- nokkrar -- nokkur	nokkur  --  nokkur -- nokkurt									nokkur.mp3
telja	so	s	33240	113	417912	count; think, believe	Lögregla	telur	að hann hafi látist samstundis.	tʰɛlja	Sagnorð	Verb	v.	1K	tel	telur	telur	taldi	taldir	taldi	talið																			telja.mp3
